    -269.4298417286, 671.7403640875, "39,40"
    -269.4298417286, 671.7403640875, "34,69"
    -268.6423109544, 671.7403640875, "39,37"
    -268.6423109544, 671.7403640875, "34,69"
    -266.0493062865, 671.7403640875, "39,27"
    -266.0493062865, 671.7403640875, "34,68"
    -258.6423109544, 670.884643721, "38,91"
    -258.6423109544, 670.884643721, "34,71"
    -248.6423109544, 669.7293569575, "38,57"
    -248.6423109544, 669.7293569575, "34,68"
    -238.6423109544, 668.574070194, "38,23"
    -238.6423109544, 668.574070194, "34,64"
    -228.6423109544, 667.4187834304, "37,89"
    -228.6423109544, 667.4187834304, "34,59"
    -218.6423109544, 666.2634966669, "37,55"
    -218.6423109544, 666.2634966669, "34,55"
    -208.6423109544, 665.1082099034, "37,22"
    -208.6423109544, 665.1082099034, "34,50"
    -198.6423109544, 663.9529231399, "36,88"
    -198.6423109544, 663.9529231399, "34,49"
    -188.6423109544, 662.7976363763, "36,54"
    -188.6423109544, 662.7976363763, "34,47"
    -269.8307343293, 661.7403640875, "38,70"
    -269.8307343293, 661.7403640875, "35,12"
    -268.6423109544, 661.7403640875, "38,67"
    -268.6423109544, 661.7403640875, "35,13"
    -258.6423109544, 661.7403640875, "38,28"
    -258.6423109544, 661.7403640875, "35,20"
    -248.6423109544, 661.7403640875, "37,80"
    -248.6423109544, 661.7403640875, "35,26"
    -238.6423109544, 661.7403640875, "37,37"
    -238.6423109544, 661.7403640875, "35,33"
    -228.6423109544, 661.7403640875, "36,98"
    -228.6423109544, 661.7403640875, "35,40"
    -218.6423109544, 661.7403640875, "36,70"
    -218.6423109544, 661.7403640875, "35,41"
    -208.6423109544, 661.7403640875, "36,58"
    -208.6423109544, 661.7403640875, "35,16"
    -198.6423109544, 661.7403640875, "36,46"
    -198.6423109544, 661.7403640875, "34,84"
    -188.6423109544, 661.7403640875, "36,34"
    -188.6423109544, 661.7403640875, "34,59"
    -178.6423109544, 661.7403640875, "36,22"
    -178.6423109544, 661.7403640875, "34,45"
    -168.6423109544, 660.4870628493, "35,86"
    -168.6423109544, 660.4870628493, "34,45"
    -158.6423109544, 659.3317760858, "35,53"
    -158.6423109544, 659.3317760858, "34,43"
    -148.6423109544, 658.1764893222, "35,19"
    -148.6423109544, 658.1764893222, "34,43"
    -138.6423109544, 657.0212025587, "35,07"
    -138.6423109544, 657.0212025587, "34,43"
    -128.6423109544, 655.8659157952, "35,32"
    -128.6423109544, 655.8659157952, "34,45"
    -118.6423109544, 654.7106290317, "35,56"
    -118.6423109544, 654.7106290317, "34,46"
    -108.6423109544, 653.5553422681, "35,77"
    -108.6423109544, 653.5553422681, "34,48"
    -98.6423109544, 652.4000555046, "35,64"
    -98.6423109544, 652.4000555046, "34,51"
    -92.93211468128, 651.7403640875, "35,56"
    -92.93211468128, 651.7403640875, "34,63"
    -270.23162693, 651.7403640875, "37,82"
    -270.23162693, 651.7403640875, "35,45"
    -268.6423109544, 651.7403640875, "37,77"
    -268.6423109544, 651.7403640875, "35,46"
    -258.6423109544, 651.7403640875, "37,48"
    -258.6423109544, 651.7403640875, "35,53"
    -248.6423109544, 651.7403640875, "37,19"
    -248.6423109544, 651.7403640875, "35,59"
    -238.6423109544, 651.7403640875, "36,74"
    -238.6423109544, 651.7403640875, "35,66"
    -228.6423109544, 651.7403640875, "36,25"
    -228.6423109544, 651.7403640875, "36,04"
    -218.6423109544, 651.7403640875, "35,78"
    -218.6423109544, 651.7403640875, "36,13"
    -208.6423109544, 651.7403640875, "35,38"
    -208.6423109544, 651.7403640875, "36,15"
    -198.6423109544, 651.7403640875, "34,99"
    -198.6423109544, 651.7403640875, "36,12"
    -188.6423109544, 651.7403640875, "34,59"
    -188.6423109544, 651.7403640875, "36,16"
    -178.6423109544, 651.7403640875, "34,64"
    -178.6423109544, 651.7403640875, "36,21"
    -168.6423109544, 651.7403640875, "34,82"
    -168.6423109544, 651.7403640875, "36,18"
    -158.6423109544, 651.7403640875, "35,00"
    -158.6423109544, 651.7403640875, "36,10"
    -148.6423109544, 651.7403640875, "35,18"
    -148.6423109544, 651.7403640875, "36,03"
    -138.6423109544, 651.7403640875, "35,36"
    -138.6423109544, 651.7403640875, "35,73"
    -128.6423109544, 651.7403640875, "35,54"
    -128.6423109544, 651.7403640875, "35,30"
    -118.6423109544, 651.7403640875, "35,68"
    -118.6423109544, 651.7403640875, "34,99"
    -108.6423109544, 651.7403640875, "35,64"
    -108.6423109544, 651.7403640875, "34,86"
    -98.6423109544, 651.7403640875, "35,59"
    -98.6423109544, 651.7403640875, "34,74"
    -88.6423109544, 651.2447687411, "35,51"
    -88.6423109544, 651.2447687411, "34,68"
    -78.6423109544, 650.0894819776, "35,38"
    -78.6423109544, 650.0894819776, "34,71"
    -68.6423109544, 648.934195214, "35,24"
    -68.6423109544, 648.934195214, "34,73"
    -58.6423109544, 647.7789084505, "35,06"
    -58.6423109544, 647.7789084505, "34,61"
    -48.6423109544, 646.623621687, "34,85"
    -48.6423109544, 646.623621687, "34,50"
    -38.6423109544, 645.4683349235, "34,46"
    -38.6423109544, 645.4683349235, "34,45"
    -28.6423109544, 644.3130481599, "34,14"
    -28.6423109544, 644.3130481599, "34,41"
    -18.6423109544, 643.1577613964, "34,28"
    -18.6423109544, 643.1577613964, "34,36"
    -8.642310954403, 642.0024746329, "34,42"
    -8.642310954403, 642.0024746329, "33,98"
    -6.37351887865, 641.7403640875, "34,45"
    -6.37351887865, 641.7403640875, "33,96"
    -270.6325195307, 641.7403640875, "36,94"
    -270.6325195307, 641.7403640875, "35,78"
